ticker,market_cap,roe,eps,revenue,net_income,total_equity,operating_cf,free_cash_flow,source_name,source_file,data_as_of,table_grain
6213,99434266624,0.07206,4.14,33098283008.0,1510219008.0,21267030000.0,2269352000.0,729961000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
3008,372774862848,0.1144,157.08,62112735232.0,20955297792.0,188867185000.0,26080226000.0,13565344000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
5269,106044506112,0.15606,72.44,13414562816.0,5425836032.0,36142669000.0,4070189000.0,3405450000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
3035,50546761728,0.05725,2.79,17992808448.0,731331008.0,13056360000.0,929555000.0,266113000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
8069,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
8210,190485102592,0.41717,28.37,24954861568.0,4227503104.0,10884852000.0,3086926000.0,2097706000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1101,190021599232,-0.0395,-1.6,149804138496.0,-12022857728.0,231910589000.0,33191582000.0,6171112000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1102,125193674752,0.050040003,2.99,71038525440.0,10029822976.0,180277293000.0,16839301000.0,12220473000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1103,8695566336,0.02812,0.84,3015356928.0,556262016.0,18135537000.0,281150000.0,107815000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1104,19261423616,0.072909996,2.55,7920216064.0,1756477952.0,24181437000.0,1295147000.0,1120192000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1108,5706806784,0.15677,2.16,4218865920.0,818195968.0,5755705000.0,1112955000.0,922493000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1109,5253847040,0.037320003,1.03,4431539200.0,351163008.0,8364879000.0,773686000.0,522790000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1110,8206372352,0.02379,0.36,2851556096.0,205528000.0,9467253000.0,125843000.0,14725000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1201,6199271936,0.026500002,0.4,21842083840.0,203055008.0,7662467000.0,1073453000.0,-394979000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1203,10185707520,0.09423,1.81,5654961152.0,430560000.0,6380806000.0,1256175000.0,1175840000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1210,43759792128,0.1225,4.32,101221777408.0,3624188928.0,26601894000.0,6670312000.0,-419214000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1213,492616864,-0.070489995,-0.85,297364992.0,-48380000.0,652254000.0,-62053000.0,-68681000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1215,39944048640,0.25624,10.38,28431622144.0,3063773952.0,12440743000.0,3687864000.0,1841976000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1216,427287543808,0.14745,3.44,678615908352.0,21015228416.0,135782210000.0,75383767000.0,41061297000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1217,4772054016,0.025940001,0.42,5035400192.0,208672000.0,7807286000.0,164558000.0,64019000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1218,9191447552,0.060289998,1.3,10114638848.0,772856000.0,12810524000.0,1217485000.0,1151999000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1219,4470222848,-0.000120000004,0.45,14381993984.0,155132992.0,4589936000.0,889251000.0,439953000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1220,2160887040,0.01654,0.08,3328122880.0,13529000.0,2338145000.0,61410000.0,-45847000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1225,7631450112,0.111999996,1.62,12054917120.0,393441984.0,3908697000.0,835810000.0,781971000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1227,26162493440,0.06562,1.33,27872202752.0,1208790016.0,18558047000.0,2603059000.0,1218240000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1229,72085495808,0.07323,2.57,13583582208.0,4599753216.0,57197390000.0,6224986000.0,5873591000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1231,25696929792,0.16469999,3.81,12867131392.0,1138520064.0,7250697000.0,854418000.0,196363000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1232,23676301312,0.22817,8.25,22009960448.0,1384226048.0,5903946000.0,2064197000.0,1626986000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1233,2598756352,0.048049998,0.75,2160758016.0,67920000.0,1354339000.0,222926000.0,168498000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1234,13864549376,0.04269,2.0,9510092800.0,804345984.0,18848809000.0,202536000.0,-175557000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1235,1938869120,-0.02725,-0.03,175778000.0,-2937000.0,2895188000.0,-137998000.0,-137998000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1236,2127846784,-0.00911,-0.43,1843026048.0,-22147000.0,2522887000.0,126670000.0,-10410000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1240,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1256,6832489984,0.10362001,11.15,4119789056.0,382324992.0,3950400000.0,472496000.0,-32131000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
